"municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"Cáceres","No_Lowcost",1.399,1.399,1.399,1.619,1.619,1.619
"Cádiz","No_Lowcost",1.355,1.339,1.347,1.569,1.509,1.539
"Calella","No_Lowcost",1.389,1.389,1.389,1.569,1.569,1.569
"Calvià","No_Lowcost",1.435,1.435,1.435,1.629,1.609,1.619
"Cambre","No_Lowcost",1.405,1.405,1.405,1.604,1.604,1.604
"Campanet","No_Lowcost",1.435,1.435,1.435,1.604,1.604,1.604
"Campello (el)","Lowcost",1.369,1.369,1.369,1.589,1.589,1.589
"Campo de Criptana","Lowcost",1.379,1.379,1.379,1.529,1.529,1.529
"Canals","No_Lowcost",1.389,1.379,1.384,1.569,1.539,1.554
"Canfranc","No_Lowcost",1.389,1.389,1.389,1.589,1.589,1.589
"Cangas","No_Lowcost",1.395,1.395,1.395,1.594,1.594,1.594
"Cangas de Onís","Lowcost",1.399,1.399,1.399,1.529,1.529,1.529
"Cantillana","Lowcost",1.349,1.349,1.349,1.539,1.539,1.539
"Caravaca de la Cruz","No_Lowcost",1.369,1.369,1.369,1.549,1.549,1.549
"Carbajosa de la Sagrada","No_Lowcost",1.276,1.276,1.276,1.476,1.476,1.476
"Cárcheles","No_Lowcost",1.389,1.389,1.389,1.599,1.599,1.599
"Cariñena","No_Lowcost",1.385,1.385,1.385,1.584,1.584,1.584
"Carmona","No_Lowcost",1.389,1.389,1.389,1.559,1.559,1.559
"Carnota","No_Lowcost",1.399,1.399,1.399,1.629,1.629,1.629
"Carolina (La)","No_Lowcost",1.389,1.389,1.389,1.559,1.559,1.559
"Carpio (El)","No_Lowcost",1.409,1.409,1.409,1.559,1.559,1.559
"Cartagena","Lowcost",1.278,1.278,1.278,1.428,1.428,1.428
"Cartagena","No_Lowcost",1.379,1.349,1.36263636363636,1.559,1.509,1.53718181818182
"Casabermeja","No_Lowcost",1.399,1.399,1.399,1.644,1.644,1.644
"Casar de Cáceres","No_Lowcost",1.389,1.389,1.389,1.569,1.569,1.569
"Castalla","No_Lowcost",1.389,1.389,1.389,1.599,1.599,1.599
"Castejón del Puente","Lowcost",1.389,1.389,1.389,1.559,1.559,1.559
"Castellar del Vallès","No_Lowcost",1.429,1.429,1.429,1.619,1.619,1.619
"Castellet i la Gornal","No_Lowcost",1.415,1.415,1.415,1.619,1.619,1.619
"Castellón de la Plana/Castelló de la Plana","No_Lowcost",1.369,1.369,1.369,1.554,1.554,1.554
"Castillejo de Iniesta","No_Lowcost",1.409,1.409,1.409,1.584,1.584,1.584
"Castillo de Garcimuñoz","No_Lowcost",1.384,1.384,1.384,1.574,1.574,1.574
"Cazalegas","No_Lowcost",1.405,1.405,1.405,1.579,1.579,1.579
"Cazalla de la Sierra","No_Lowcost",1.379,1.379,1.379,1.579,1.579,1.579
"Cedillo del Condado","No_Lowcost",1.389,1.389,1.389,1.569,1.569,1.569
"Cee","No_Lowcost",1.369,1.369,1.369,1.549,1.549,1.549
