"municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"San Esteban del Molar","No_Lowcost",1.395,1.395,1.395,1.574,1.574,1.574
"San Fernando","No_Lowcost",1.355,1.355,1.355,1.569,1.569,1.569
"San Javier","No_Lowcost",1.349,1.349,1.349,1.509,1.509,1.509
"San Miguel de Abona","Lowcost",1.089,1.089,1.089,1.179,1.179,1.179
"San Pedro del Pinatar","No_Lowcost",1.374,1.374,1.374,1.564,1.564,1.564
"San Roque","No_Lowcost",1.379,1.339,1.36566666666667,1.569,1.539,1.559
"San Sebastián de los Reyes","No_Lowcost",1.335,1.335,1.335,1.539,1.539,1.539
"Sant Adrià de Besòs","No_Lowcost",1.392,1.392,1.392,1.59,1.59,1.59
"Sant Andreu de la Barca","Lowcost",1.309,1.309,1.309,1.449,1.449,1.449
"Sant Antoni de Portmany","No_Lowcost",1.445,1.445,1.445,1.664,1.604,1.634
"Sant Feliu de Llobregat","Lowcost",1.309,1.309,1.309,1.449,1.449,1.449
"Sant Jaume d'Enveja","No_Lowcost",1.395,1.395,1.395,1.583,1.583,1.583
"Sant Jaume dels Domenys","No_Lowcost",1.449,1.449,1.449,1.619,1.619,1.619
"Sant Josep de sa Talaia","No_Lowcost",1.455,1.455,1.455,1.614,1.614,1.614
"Sant Llorenç des Cardassar","No_Lowcost",1.435,1.435,1.435,1.609,1.609,1.609
"Sant Sadurní d'Anoia","No_Lowcost",1.409,1.409,1.409,1.579,1.579,1.579
"Sant Vicenç dels Horts","Lowcost",1.309,1.309,1.309,1.449,1.449,1.449
"Santa Amalia","No_Lowcost",1.449,1.449,1.449,1.529,1.529,1.529
"Santa Eugènia","No_Lowcost",1.435,1.435,1.435,1.614,1.614,1.614
"Santa Maria de Miralles","Lowcost",1.229,1.229,1.229,1.349,1.349,1.349
"Santa Marta de Tormes","No_Lowcost",1.289,1.289,1.289,1.489,1.489,1.489
"Santa Perpètua de Mogoda","No_Lowcost",1.415,1.415,1.415,1.619,1.619,1.619
"Santa Pola","No_Lowcost",1.385,1.385,1.385,1.614,1.614,1.614
"Santanyí","No_Lowcost",1.469,1.435,1.45433333333333,1.639,1.629,1.63566666666667
"Sax","No_Lowcost",1.395,1.385,1.39166666666667,1.644,1.574,1.60066666666667
"Sedaví","No_Lowcost",1.375,1.375,1.375,1.634,1.634,1.634
"Segovia","No_Lowcost",1.415,1.409,1.413,1.594,1.589,1.59233333333333
"Selva del Camp (La)","No_Lowcost",1.409,1.409,1.409,1.609,1.609,1.609
"Seseña","No_Lowcost",1.329,1.329,1.329,1.549,1.549,1.549
"Siete Iglesias de Trabancos","No_Lowcost",1.385,1.385,1.385,1.569,1.569,1.569
"Sitges","No_Lowcost",1.469,1.469,1.469,1.649,1.649,1.649
"Suances","No_Lowcost",1.385,1.385,1.385,1.569,1.569,1.569
"Taboadela","No_Lowcost",1.389,1.389,1.389,1.579,1.579,1.579
"Talavera de la Reina","No_Lowcost",1.379,1.379,1.379,1.554,1.554,1.554
"Tarazona","No_Lowcost",1.419,1.419,1.419,1.599,1.599,1.599
"Tarazona de la Mancha","No_Lowcost",1.389,1.389,1.389,1.519,1.519,1.519
"Tarragona","No_Lowcost",1.379,1.349,1.359,1.584,1.539,1.554
"Tàrrega","Lowcost",1.299,1.299,1.299,1.419,1.419,1.419
"Tàrrega","No_Lowcost",1.409,1.409,1.409,1.569,1.569,1.569
"Telde","Lowcost",1.059,1.059,1.059,1.179,1.179,1.179
"Tembleque","No_Lowcost",1.429,1.429,1.429,1.569,1.569,1.569
"Terrassa","Lowcost",1.289,1.289,1.289,1.579,1.579,1.579
"Teruel","No_Lowcost",1.359,1.359,1.359,1.579,1.579,1.579
"Teulada","No_Lowcost",1.389,1.389,1.389,1.579,1.579,1.579
"Titaguas","Lowcost",1.339,1.339,1.339,1.509,1.509,1.509
"Toledo","No_Lowcost",1.419,1.405,1.412,1.579,1.549,1.564
"Tomelloso","Lowcost",1.379,1.379,1.379,1.509,1.509,1.509
"Tordesillas","No_Lowcost",1.409,1.409,1.409,1.549,1.549,1.549
"Toreno","No_Lowcost",1.419,1.419,1.419,1.589,1.589,1.589
"Torija","No_Lowcost",1.399,1.399,1.399,1.599,1.599,1.599
"Torquemada","No_Lowcost",1.389,1.389,1.389,1.569,1.569,1.569
"Torre-Pacheco","Lowcost",1.299,1.238,1.2685,1.509,1.368,1.4385
"Torrejón de la Calzada","No_Lowcost",1.419,1.419,1.419,1.609,1.609,1.609
"Torremolinos","No_Lowcost",1.379,1.359,1.36566666666667,1.644,1.639,1.64066666666667
"Torrent","No_Lowcost",1.369,1.369,1.369,1.579,1.579,1.579
"Torrevieja","No_Lowcost",1.369,1.369,1.369,1.539,1.539,1.539
"Tortosa","No_Lowcost",1.395,1.39,1.3925,1.595,1.583,1.589
"Totana","No_Lowcost",1.369,1.369,1.369,1.549,1.549,1.549
"Trigueros","No_Lowcost",1.389,1.375,1.382,1.549,1.549,1.549
"Trujillo","No_Lowcost",1.389,1.389,1.389,1.589,1.589,1.589
"Tui","No_Lowcost",1.339,1.339,1.339,1.539,1.539,1.539
"Unión (La)","No_Lowcost",1.359,1.359,1.359,1.539,1.539,1.539
"Usurbil","No_Lowcost",1.449,1.449,1.449,1.644,1.644,1.644
"Utebo","No_Lowcost",1.375,1.375,1.375,1.574,1.574,1.574
"Utrera","Lowcost",1.309,1.309,1.309,1.429,1.429,1.429
"Valdemoro","No_Lowcost",1.429,1.429,1.429,1.644,1.644,1.644
"Valdepeñas","No_Lowcost",1.399,1.399,1.399,1.559,1.559,1.559
"Vallada","Lowcost",1.389,1.389,1.389,1.539,1.539,1.539
"Valladolid","No_Lowcost",1.389,1.379,1.384,1.589,1.569,1.5765
"Valls","No_Lowcost",1.419,1.419,1.419,1.579,1.579,1.579
"Vandellòs i l'Hospitalet de l'Infant","Lowcost",1.179,1.179,1.179,1.359,1.359,1.359
"Vega de Valdetronco","No_Lowcost",1.389,1.389,1.389,1.589,1.589,1.589
"Vélez-Málaga","No_Lowcost",1.399,1.399,1.399,1.589,1.589,1.589
"Vélez de Benaudalla","No_Lowcost",1.369,1.369,1.369,1.529,1.529,1.529
"Verín","No_Lowcost",1.419,1.419,1.419,1.589,1.589,1.589
"Vilafranca del Penedès","Lowcost",1.289,1.289,1.289,1.379,1.379,1.379
"Vilagarcía de Arousa","No_Lowcost",1.395,1.395,1.395,1.574,1.574,1.574
"Vilanova de Arousa","No_Lowcost",1.379,1.379,1.379,1.539,1.539,1.539
"Villa del Prado","No_Lowcost",1.419,1.419,1.419,1.604,1.604,1.604
"Villa del Río","No_Lowcost",1.409,1.409,1.409,1.549,1.549,1.549
"Villabona","No_Lowcost",1.379,1.379,1.379,1.579,1.579,1.579
"Villadecanes","No_Lowcost",1.409,1.409,1.409,1.589,1.589,1.589
"Villafranca de Córdoba","No_Lowcost",1.409,1.409,1.409,1.569,1.569,1.569
"Villafranca de los Barros","Lowcost",1.409,1.409,1.409,1.569,1.569,1.569
"Villafranca de los Barros","No_Lowcost",1.399,1.399,1.399,1.569,1.569,1.569
"Villaharta","No_Lowcost",1.379,1.379,1.379,1.519,1.519,1.519
"Villajoyosa/Vila Joiosa (la)","No_Lowcost",1.439,1.39,1.42266666666667,1.624,1.584,1.61066666666667
"Villanueva de Córdoba","No_Lowcost",1.379,1.369,1.374,1.549,1.519,1.534
"Villanueva de la Jara","Lowcost",1.379,1.379,1.379,1.529,1.529,1.529
"Villanueva del Duque","No_Lowcost",1.399,1.399,1.399,1.519,1.519,1.519
"Villanueva del Pardillo","No_Lowcost",1.419,1.419,1.419,1.624,1.624,1.624
"Villarejo de Salvanés","No_Lowcost",1.429,1.429,1.429,1.614,1.614,1.614
"Villarreal/Vila-real","No_Lowcost",1.369,1.359,1.364,1.559,1.549,1.554
"Villarrobledo","No_Lowcost",1.359,1.359,1.359,1.499,1.499,1.499
"Villarta de San Juan","No_Lowcost",1.399,1.399,1.399,1.529,1.529,1.529
"Villaviciosa","No_Lowcost",1.379,1.379,1.379,1.569,1.509,1.539
"Villena","Lowcost",1.385,1.385,1.385,1.579,1.579,1.579
"Villena","No_Lowcost",1.399,1.399,1.399,1.579,1.579,1.579
"Vitoria-Gasteiz","No_Lowcost",1.449,1.449,1.449,1.729,1.729,1.729
"Viveiro","No_Lowcost",1.389,1.359,1.374,1.559,1.529,1.544
"Xinzo de Limia","No_Lowcost",1.419,1.419,1.419,1.589,1.589,1.589
"Zafra de Záncara","No_Lowcost",1.409,1.409,1.409,1.579,1.579,1.579
"Zaragoza","No_Lowcost",1.389,1.368,1.38057142857143,1.599,1.548,1.57814285714286
